UF,IBGE,Município,Qtd_caps
AC,120001,Acrelandia,1
AC,120010,Brasileia,1
AC,120017,Capixaba,1
AC,120020,Cruzeiro do Sul,1
AC,120025,Epitaciolandia,1
AC,120033,Mancio Lima,1
AC,120040,Rio Branco,2
AC,120050,Sena Madureira,1
AL,270010,Agua Branca,1
AL,270020,Anadia,1
AL,270030,Arapiraca,2
AL,270040,Atalaia,1
AL,270070,Batalha,1
AL,270100,Boca da Mata,1
AL,270130,Cajueiro,1
AL,270140,Campo Alegre,1
AL,270160,Canapi,1
AL,270170,Capela,1
AL,270210,Colonia Leopoldina,1
AL,270230,Coruripe,1
AL,270235,Craibas,1
AL,270240,Delmiro Gouveia,1
AL,270255,Estrela De Alagoas,1
AL,270260,Feira Grande,1
AL,270290,Girau Do Ponciano,1
AL,270300,Ibateguara,1
AL,270310,Igaci,1
AL,270320,Igreja Nova,1
AL,270330,Inhapi,1
AL,270380,Joaquim Gomes,1
AL,270400,Junqueiro,1
AL,270410,Lagoa Da Canoa,1
AL,270420,Limoeiro De Anadia,1
AL,270430,Maceio,5
AL,270440,Major Isidoro,1
AL,270450,Maragogi,1
AL,270470,Marechal Deodoro,1
AL,270500,Mata Grande,1
AL,270510,Matriz De Camaragibe,1
AL,270520,Messias,1
AL,270550,Murici,1
AL,270570,Olho D'Agua Das Flores,1
AL,270610,Ouro Branco,1
AL,270630,Palmeira Dos Indios,2
AL,270640,Pao De Acucar,1
AL,270650,Passo De Camaragibe,1
AL,270670,Penedo,1
AL,270680,Piaçabuçu,1
AL,270690,Pilar,1
AL,270710,Piranhas,1
AL,270730,Porto Calvo,1
AL,270740,Porto De Pedras,1
AL,270750,Porto Real Do Colegio,1
AL,270760,Quebrangulo,1
AL,270770,Rio Largo,1
AL,270800,Santana do Ipanema,1
AL,270830,São José Da Laje,1
AL,270840,São José Da Tapera,1
AL,270850,São Luis Do Quitunde,1
AL,270860,São Miguel dos Campos,1
AL,270880,São Sebastiao,1
AL,270890,Satuba,1
AL,270910,Taquarana,1
AL,270915,Teotonio Vilela,1
AL,270920,Traipu,1
AL,270930,Uniao dos Palmares,1
AL,270940,Viçosa,1
AM,130014,Apui,1
AM,130030,Autazes,1
AM,130080,Borba,1
AM,130120,Coari,1
AM,130130,Codajas,1
AM,130140,Eirunepe,1
AM,130165,Guajara,1
AM,130170,Humaita,1
AM,130185,Iranduba,1
AM,130190,Itacoatiara,1
AM,130250,Manacapuru,2
AM,130255,Manaquiri,1
AM,130260,Manaus,4
AM,130270,Manicore,1
AM,130290,Maues,1
AM,130310,Nova Olinda Do Norte,1
AM,130330,Novo Aripuana,1
AM,130340,Parintins,1
AM,130356,Rio Preto Da Eva,1
AM,130380,São Gabriel da Cachoeira,1
AM,130420,Tefe,1
AP,160027,Laranjal Do Jari,1
AP,160030,Macapa,2
AP,160050,Oiapoque,1
AP,160060,Santana,1
BA,290010,Abaira,1
BA,290040,Buritirama,1
BA,290070,Alagoinhas,1
BA,290080,Alcobaca,1
BA,290100,Amargosa,1
BA,290110,Amelia Rodrigues,1
BA,290120,Anage,1
BA,290135,Andorinha,1
BA,290200,Aracatu,1
BA,290210,Araci,1
BA,290260,Baixa Grande,1
BA,290270,Barra,1
BA,290280,Barra da Estiva,1
BA,290290,Barra do Choca,1
BA,290320,Barreiras,2
BA,290327,Barrocas,1
BA,290340,Belmonte,1
BA,290350,Belo Campo,1
BA,290360,Biritinga,1
BA,290380,Boa Vista do Tupim,1
BA,290390,Bom Jesus da Lapa,1
BA,290400,Boninal,1
BA,290410,Boquira,1
BA,290420,Botupora,1
BA,290460,Brumado,1
BA,290485,Cabaceiras do Paraguacu,1
BA,290490,Cachoeira,1
BA,290500,Cacule,1
BA,290515,Caetanos,1
BA,290520,Caetite,1
BA,290540,Cairu,1
BA,290550,Caldeirão Grande,1
BA,290560,Camacan,1
BA,290570,Camacari,4
BA,290580,Camamu,1
BA,290590,Campo Alegre de Lourdes,1
BA,290600,Campo Formoso,1
BA,290620,CANARANA,1
BA,290630,Canavieiras,1
BA,290650,Candeias,1
BA,290670,Candido Sales,1
BA,290680,Cansancao,1
BA,290682,Canudos,1
BA,290687,Capim Grosso,1
BA,290690,Caravelas,1
BA,290710,Carinhanha,1
BA,290720,Casa Nova,1
BA,290730,Castro Alves,1
BA,290750,Catu,1
BA,290780,Cicero Dantas,1
BA,290790,Cipo,1
BA,290800,Coaraci,1
BA,290810,Cocos,1
BA,290820,Conceição da Feira,1
BA,290830,Conceição do Almeida,1
BA,290840,Conceição do Coite,1
BA,290850,Conceição do Jacuipe,1
BA,290870,Condeuba,1
BA,290890,Coracao de Maria,1
BA,290910,CORIBE,1
BA,290920,Coronel João Sa,1
BA,290960,Crisopolis,1
BA,290980,Cruz das Almas,1
BA,290990,Curaca,1
BA,291005,Dias D'Avila,1
BA,291040,Encruzilhada,1
BA,291050,Entre Rios,1
BA,291060,Esplanada,1
BA,291070,Euclides Da Cunha,1
BA,291072,Eunapolis,3
BA,291075,Fátima,1
BA,291080,Feira De Santana,5
BA,291085,Filadelfia,1
BA,291120,Gandu,1
BA,291160,Governador Mangabeira,1
BA,291170,Guanambi,2
BA,291190,Iacu,1
BA,291210,Ibicarai,1
BA,291220,Ibicoara,1
BA,291230,Ibicuí,1
BA,291250,Ibipitanga,1
BA,291270,Ibirapitanga,1
BA,291290,Ibirataia,1
BA,291320,Ibotirama,1
BA,291340,Igapora,1
BA,291350,Iguai,1
BA,291360,Ilheus,2
BA,291370,Inhambupe,1
BA,291380,Ipecaeta,1
BA,291390,Ipiau,1
BA,291400,Ipira,1
BA,291420,Irajuba,1
BA,291440,Iraquara,1
BA,291450,Irara,1
BA,291460,Irece,1
BA,291465,Itabela,1
BA,291470,Itaberaba,1
BA,291480,Itabuna,3
BA,291490,Itacare,1
BA,291500,Itaete,1
BA,291535,Itaguaçu da Bahia,1
BA,291550,Itajuipe,1
BA,291560,Itamaraju,1
BA,291580,Itambe,1
BA,291600,Itanhem,1
BA,291610,Itaparica,1
BA,291640,Itapetinga,2
BA,291650,Itapicuru,1
BA,291685,Itatim,1
BA,291700,Itiuba,1
BA,291710,Itororo,1
BA,291730,Itubera,1
BA,291750,Jacobina,2
BA,291760,Jaguaquara,1
BA,291770,Jaguarari,1
BA,291800,Jequie,2
BA,291810,Jeremoabo,1
BA,291840,Juazeiro,2
BA,291880,Laje,1
BA,291920,Lauro De Freitas,3
BA,291930,Lençois,1
BA,291950,Livramento De Nossa Senhora,1
BA,291955,Luis Eduardo Magalhaes,1
BA,291970,Macarani,1
BA,291980,Macaubas,1
BA,292010,Mairi,1
BA,292050,Maracas,1
BA,292060,Maragogipe,1
BA,292100,Mata de São João,1
BA,292110,Medeiros Neto,1
BA,292120,Miguel Calmon,1
BA,292140,Mirangaba,1
BA,292150,Monte Santo,1
BA,292170,Morro Do Chapeu,1
BA,292190,Mucuge,1
BA,292200,Mucuri,1
BA,292230,Muritiba,1
BA,292240,Mutuipe,1
BA,292250,Nazare,1
BA,292290,Nova Soure,1
BA,292300,Nova Viçosa,1
BA,292310,Olindina,1
BA,292320,Oliveira Dos Brejinhos,1
BA,292350,Palmeiras,1
BA,292360,Paramirim,2
BA,292370,Paratinga,1
BA,292380,Paripiranga,1
BA,292400,Paulo Afonso,2
BA,292405,PÉ DE SERRA,1
BA,292430,Piata,1
BA,292460,Pindobacu,1
BA,292500,Planalto,1
BA,292510,Pocoes,1
BA,292520,Pojuca,1
BA,292525,Ponto Novo,1
BA,292530,Porto Seguro,3
BA,292550,Prado,1
BA,292560,Presidente Dutra,1
BA,292570,Presidente Janio Quadros,1
BA,292575,Presidente Tancredo Neves,1
BA,292580,Queimadas,1
BA,292590,Quijingue,1
BA,292595,Rafael Jambeiro,1
BA,292600,Remanso,1
BA,292630,Riachao Do Jacuipe,1
BA,292640,Riacho De Santana,1
BA,292660,Ribeira do Pombal,1
BA,292680,Rio Do Antonio,1
BA,292700,Rio Real,1
BA,292720,Ruy Barbosa,1
BA,292740,Salvador,18
BA,292750,Santa Barbara,1
BA,292770,Santa Cruz Cabralia,1
BA,292800,Santaluz,2
BA,292810,Santa Maria Da Vitoria,1
BA,292820,Santana,1
BA,292840,Santa Rita De Cassia,1
BA,292860,Santo Amaro,1
BA,292870,Santo Antonio De Jesus,2
BA,292880,Santo Estevao,1
BA,292890,São Desiderio,1
BA,292895,São Domingos,1
BA,292900,São Felix,1
BA,292905,São Felix Do Coribe,1
BA,292910,São Felipe,1
BA,292930,São Gonçalo Dos Campos,1
BA,292950,São Sebastiao do Passe,1
BA,292960,Sapeaçu,1
BA,292980,Saude,1
BA,292990,Seabra,1
BA,293010,Senhor Do Bonfim,2
BA,293015,Serra Do Ramalho,1
BA,293020,Sento Se,1
BA,293030,Serra Dourada,1
BA,293040,Serra Preta,1
BA,293050,Serrinha,2
BA,293060,Serrolandia,1
BA,293077,Sobradinho,1
BA,293080,Souto Soares,1
BA,293100,Tanhacu,1
BA,293105,Tanque Novo,1
BA,293130,Tapiramuta,1
BA,293135,Teixeira De Freitas,3
BA,293150,Teofilandia,1
BA,293180,Tremedal,1
BA,293190,Tucano,1
BA,293200,Uaua,1
BA,293220,Ubaitaba,1
BA,293230,Ubata,1
BA,293250,Una,1
BA,293270,Urucuca,1
BA,293280,Utinga,1
BA,293290,Valenca,1
BA,293300,Valente,1
BA,293320,Vera Cruz,1
BA,293330,Vitoria Da Conquista,3
BA,293360,Xique-Xique,1
CE,230015,Acarape,1
CE,230020,Acarau,1
CE,230030,Acopiara,1
CE,230075,Amontada,1
CE,230100,Aquiraz,2
CE,230110,Aracati,2
CE,230120,Aracoiaba,1
CE,230130,Araripe,1
CE,230160,Assare,1
CE,230170,Aurora,1
CE,230185,Banabuiu ,1
CE,230190,Barbalha,3
CE,230195,Barreira,1
CE,230210,Baturite,1
CE,230220,Beberibe,1
CE,230230,Bela Cruz,1
CE,230250,Brejo Santo,3
CE,230260,Camocim,2
CE,230280,Caninde,2
CE,230290,Capistrano,1
CE,230310,Carire,1
CE,230320,Caririacu,1
CE,230340,Carnaubal,1
CE,230350,Cascavel,1
CE,230360,Catarina,1
CE,230370,Caucaia,3
CE,230380,Cedro,1
CE,230400,Coreau,1
CE,230410,Crateus,1
CE,230420,Crato,1
CE,230425,Cruz,1
CE,230428,Eusebio,2
CE,230430,Farias Brito,1
CE,230435,Forquilha,1
CE,230440,Fortaleza,15
CE,230445,Fortim ,1
CE,230465,Graca,1
CE,230470,Granja,1
CE,230495,Guaiuba,1
CE,230500,Guaraciaba Do Norte,1
CE,230520,Hidrolândia,1
CE,230523,Horizonte,2
CE,230530,Ibiapina,1
CE,230535,Icapui,1
CE,230540,Ico,3
CE,230550,Iguatu,3
CE,230580,Ipú,2
CE,230590,Ipueiras,1
CE,230610,Iraucuba,1
CE,230625,Itaitinga,1
CE,230630,Itapage,1
CE,230640,Itapipoca,1
CE,230650,Itapiuna,1
CE,230655,Itarema,1
CE,230670,Jaguaretama,1
CE,230690,Jaguaribe,1
CE,230700,Jaguaruana,1
CE,230710,Jardim,1
CE,230730,Juazeiro Do Norte,3
CE,230740,Jucas,1
CE,230750,Lavras Da Mangabeira,1
CE,230760,Limoeiro Do Norte,2
CE,230765,Maracanau,3
CE,230770,Maranguape,3
CE,230780,Marco,1
CE,230810,Mauriti,1
CE,230830,Milagres,1
CE,230840,MisSão Velha,1
CE,230860,Monsenhor Tabosa,1
CE,230870,Morada Nova,1
CE,230910,Mulungu,1
CE,230940,Novo Oriente,1
CE,230945,Ocara,1
CE,230950,Oros,1
CE,230960,Pacajus,1
CE,230970,Pacatuba,2
CE,230980,Pacoti,1
CE,231020,Paracuru,1
CE,231025,Paraipaba,2
CE,231030,Parambu,1
CE,231050,Pedra Branca,1
CE,231070,Pentecoste,1
CE,231090,Piquet Carneiro,1
CE,231110,Porteiras,1
CE,231126,Quiterianópolis,1
CE,231130,Quixada,2
CE,231135,Quixelo,1
CE,231140,Quixeramobim,2
CE,231150,Quixere,1
CE,231160,Redencao,1
CE,231170,Reriutaba,1
CE,231180,Russas,1
CE,231200,Santana Do Acarau,1
